UniqueID,Branch,Side,BranchTransect,Genus,Species,Sexual,Asexual,LobeLength,LobeWidth,PatchLength,PatchWidth ,PatchHeight,Elevation,Slope,SlopeFacing,LatN,LongW,CoastalInland,,,,
B1SAHL01,1,A,"1, 2",Heterodermia,Heterodermia leucomela,N,N,7,0.5,15.5,11.5,7.5,1196,-60,S,37.68876,122.4374,C,,,,
B1SAHL02,1,A,"4, 5, 6, 7, 8",Heterodermia,Heterodermia leucomela,N,Y,17,1.5,21,35.5,9,1196,-60,S,37.68876,122.4374,C,,,,
B1SAPP01,1,A,7,Parmotrema,Parmotrema perlatum,N,N,5,5.5,6.5,7,0.5,1196,-60,S,37.68876,122.4374,C,,,,
B1SAPP02,1,A,8,Parmotrema,Parmotrema perlatum,N,N,1.5,2,4.5,3.5,0.1,1196,-60,S,37.68876,122.4374,C,,,,
B1SAU_01,1,A,10,Usnea,NA,N,Y,12,0.5,10,7,10,1196,-60,S,37.68876,122.4374,C,,,,
B1SAPP03,1,A,10,Parmotrema,Parmotrema perlatum,N,N,4.5,2,4.5,3,0.1,1196,-60,S,37.68876,122.4374,C,,,,
B1SAPP04,1,A,13,Parmotrema,Parmotrema perlatum,N,N,5,6,7,6,0.5,1196,-60,S,37.68876,122.4374,C,,,,
B1SBPP01,1,B,"3, 4, 5",Parmotrema,Parmotrema perlatum,N,Y,12,13.5,8,23,5,1196,-60,S,37.68876,122.4374,C,,,,
B1SBHL01,1,B,"4, 5",Heterodermia,Heterodermia leucomela,N,Y,17,2,25.5,34,7,1196,-60,S,37.68876,122.4374,C,,,,
B1SBPP02,1,B,"6, 7",Parmotrema,Parmotrema perlatum,N,N,3,2.5,10,9,1,1196,-60,S,37.68876,122.4374,C,,,,
B1SBCr01,1,B,10,Crustose,NA,NA,NA,NA,NA,NA,NA,NA,1196,-60,S,37.68876,122.4374,C,,,,
B1SBPP03,1,B,12,Parmotrema,Parmotrema perlatum,N,N,2,3,8,7,0.5,1196,-60,S,37.68876,122.4374,C,,,,
B2SAPP01,2,A,"2, 3, 4",Parmotrema,Parmotrema perlatum,N,N,8.5,10,20,19.5,1.5,1194,-70,SW,37.4119,122.2616,C,,,,
B2SAPP02,2,A,"5, 6",Parmotrema,Parmotrema perlatum,N,Y,9,6,16,11.5,3,1194,-70,SW,37.4119,122.2616,C,,,,
B2SAHL01,2,A,"5, 6, 7, 8",Heterodermia,Heterodermia leucomela,N,Y,9,1.5,28,18,9.5,1194,-70,SW,37.4119,122.2616,C,,,,
B2SAPP03,2,A,13,Parmotrema,Parmotrema perlatum,N,N,2,1,2,1,0.2,1194,-70,SW,37.4119,122.2616,C,,,,
B2SAPA01,2,A,15,Physcia,Physcia adscendens,N,N,1,1,6.5,5,0.2,1194,-70,SW,37.4119,122.2616,C,,,,
B2SAPP04,2,A,"17, 18, 19, 20, 21",Parmotrema,Parmotrema perlatum,N,Y,7,4.5,45,21.5,4,1194,-70,SW,37.4119,122.2616,C,,,,
B2SAU_01,2,A,"20, 21",Usnea,NA,N,N,8,0.3,17.5,14,8,1194,-70,SW,37.4119,122.2616,C,,,,
B2SAPP05,2,A,"22, 23, 24",Parmotrema,Parmotrema perlatum,N,N,7.5,10,27,17,2.5,1194,-70,SW,37.4119,122.2616,C,,,,
B2SAU_02,2,A,"27, 28",Usnea,NA,N,N,19,0.3,11,12.5,9,1194,-70,SW,37.4119,122.2616,C,,,,
B2SAPP06,3,A,"27, 28",Parmotrema,Parmotrema perlatum,N,N,9,9.5,9.5,11,4.5,1194,-70,SW,37.4119,122.2616,C,,,,
B2SAPA02,2,A,"27, 28",Physcia,Physcia adscendens,N,Y,2,1,18.5,9,1,1194,-70,SW,37.4119,122.2616,C,,,,
B2SAHL02,2,A,29,Heterodermia,Heterodermia leucomela,N,N,5,1.2,5.5,9,2.5,1194,-70,SW,37.4119,122.2616,C,,,,
B2SAPA03,2,A,30,Physcia,Physcia adscendens,N,N,0.5,0.5,6.5,5,2,1194,-70,SW,37.4119,122.2616,C,,,,
B2SAPP07,2,A,"31, 32, 33",Parmotrema,Parmotrema perlatum,N,N,5.5,8,16,14.5,3.5,1194,-70,SW,37.4119,122.2616,C,,,,
B2SAPA04,2,A,36,Physcia,Physcia adscendens,N,N,2.5,0.5,5,4,0.2,1194,-70,SW,37.4119,122.2616,C,,,,
B2SAPP08,2,A,37,Parmotrema,Parmotrema perlatum,N,N,4.5,2.5,6.5,6.5,0.5,1194,-70,SW,37.4119,122.2616,C,,,,
B2SAU_03,2,A,38,Usnea,NA,N,N,5.5,0.3,7.5,8.5,3,1194,-70,SW,37.4119,122.2616,C,,,,
B2SBPP01,2,B,"2, 3, 4",Parmotrema,Parmotrema perlatum,N,Y,7.5,4.5,22.5,19,1,1194,-70,SW,37.4119,122.2616,C,,,,
B2SBCr01,2,B,5,Crustose,NA,NA,NA,NA,NA,NA,NA,NA,1194,-70,SW,37.4119,122.2616,C,,,,
B2SBHL01,2,B,"5, 6, 7, 8",Heterodermia,Heterodermia leucomela,N,Y,9.5,1,28,22.5,9.5,1194,-70,SW,37.4119,122.2616,C,,,,
B2SBPP02,2,B,"8, 9, 10",Parmotrema,Parmotrema perlatum,N,N,9,4.5,19.5,18.5,2,1194,-70,SW,37.4119,122.2616,C,,,,
B2SBCr02,2,B,13,Crustose,NA,NA,NA,NA,NA,NA,NA,NA,1194,-70,SW,37.4119,122.2616,C,,,,
B2SBMS01,2,B,20,Melanelixia,Melanelia subolivacea,N,N,3,2.5,6,5.5,0.5,1194,-70,SW,37.4119,122.2616,C,,,,
B2SBPP03,2,B,"22, 23, 24",Parmotrema,Parmotrema perlatum,N,N,6,3.5,21.5,21,2.5,1194,-70,SW,37.4119,122.2616,C,,,,
B2SBPP04,2,B,"26, 27",Parmotrema,Parmotrema perlatum,N,N,7.5,7,18,15.5,3,1194,-70,SW,37.4119,122.2616,C,,,,
B2SBPA01,2,B,28,Physcia,Physcia adscendens,N,Y,3.5,1,8.5,10,1,1194,-70,SW,37.4119,122.2616,C,,,,
B2SBPP05,2,B,31,Parmotrema,Parmotrema perlatum,N,N,8,5,16,19.5,2.5,1194,-70,SW,37.4119,122.2616,C,,,,
B2SA.1PP01,2,A.1,"1, 2, 3",Parmotrema,Parmotrema perlatum,N,N,4.5,6,21.5,13.5,1,1194,-70,SW,37.4119,122.2616,C,,,,
B2SA.1PP02,2,A.1,"5, 6, 7, 8",Parmotrema,Parmotrema perlatum,N,N,5,5.5,35.5,12,2,1194,-70,SW,37.4119,122.2616,C,,,,
B2SB.1PP01,2,B.1,"1, 2, 3",Parmotrema,Parmotrema perlatum,N,N,3.5,5.5,14.5,13.5,1.5,1194,-70,SW,37.4119,122.2616,C,,,,
B2SB.1PP02,2,B.1,"4, 5, 6, 7, 8",Parmotrema,Parmotrema perlatum,N,N,7,4.5,25,8.5,1,1194,-70,SW,37.4119,122.2616,C,,,,
B3SAHL01,3,A,2,Heterodermia,Heterodermia leucomela,N,Y,7,1.5,6,4.5,0.2,1181,-65,NW,,,C,,,,
B3SAPP01,3,A,3,Parmotrema,Parmotrema perlatum,N,Y,8.5,7,9,10.5,2,1181,-65,NW,,,C,,,,
B3SAPP02,3,A,"3, 4, 5, 6, 7",Parmotrema,Parmotrema perlatum,N,Y,13.5,9,45.5,18.5,13,1181,-65,NW,,,C,,,,
B3SAHL02,3,A,"6, 7",Heterodermia,Heterodermia leucomela,N,Y,7.5,2,15.5,14,5,1181,-65,NW,,,C,,,,
B3SAPP03,3,A,"7, 8, 9, 10, 11, 12, 13, 14",Parmotrema,Parmotrema perlatum,N,Y,6.5,5,39,17,10.5,1181,-65,NW,,,C,,,,
B3SA__01,3,A,"9, 10",Flavoparmelia,NA,N,N,6.5,2.5,15,12.5,1,1181,-65,NW,,,C,,,,
B3SAHL03,3,A,"13, 14, 15",Heterodermia,Heterodermia leucomela,N,Y,14,1,29,20,11,1181,-65,NW,,,C,,,,
B2SAU_01,3,A,"15, 16, 17",Usnea,NA,N,Y,25,0.7,32,15.5,24.5,1181,-65,NW,,,C,,,,
B3SAPP04,3,A,"16, 17, 18, 19, 20, 21",Parmotrema,Parmotrema perlatum,N,Y,10.5,5.5,72.5,14,4.5,1181,-65,NW,,,C,,,,
B3SAHL04,3,A,"18, 19",Heterodermia,Heterodermia leucomela,N,Y,9,0.7,11,23.5,4,1181,-65,NW,,,C,,,,
B3SAHL05,3,A,"22, 23, 24",Heterodermia,Heterodermia leucomela,N,Y,10,1,19,23,7,1181,-65,NW,,,C,,,,
B3SAPP05,3,A,"22, 23, 24, 25, 26, 27",Parmotrema,Parmotrema perlatum,N,Y,12.5,9,39,12.5,2,1181,-65,NW,,,C,,,,
B2SAU_02,3,A,"25, 26",Usnea,NA,N,N,18.5,0.5,14,10.5,4,1181,-65,NW,,,C,,,,
B2SARF01,3,A,26,Ramalina,Ramalina farinacea,N,N,6.5,1.5,7.5,10,5.5,1181,-65,NW,,,C,,,,
B2SAU_03,3,A,27,Usnea,NA,N,N,13,0.5,10.5,6,3.5,1181,-65,NW,,,C,,,,
B3SAPP06,3,A,"27, 28, 29",Parmotrema,Parmotrema perlatum,N,N,5.5,7,29,12,2.5,1181,-65,NW,,,C,,,,
B2SAU_04,3,A,28,Usnea,NA,N,N,6.5,0.2,9,5,6.5,1181,-65,NW,,,C,,,,
B3SAHL06,4,A,28,Heterodermia,Heterodermia leucomela,N,N,4,0.5,3,5,5.5,1181,-65,NW,,,C,,,,
B3SAPP07,3,A,29,Parmotrema,Parmotrema perlatum,N,N,3.5,2.5,9.5,8.5,0.5,1181,-65,NW,,,C,,,,
B3SAHL07,3,A,29,Heterodermia,Heterodermia leucomela,N,N,5,0.5,7,7.5,4,1181,-65,NW,,,C,,,,
B3SAU_05,3,A,"29, 30",Usnea,NA,N,N,10,0.5,11,8.5,5,1181,-65,NW,,,C,,,,
B3SBPP01,3,B,"5, 6",Parmotrema,Parmotrema perlatum,N,Y,7.5,6,14.5,7,5,1181,-65,NW,,,C,,,,
B3SBPP02,3,B,6,Parmotrema,Parmotrema perlatum,N,N,7,4.5,8,4,1,1181,-65,NW,,,C,,,,
B3SBPP03,3,B,"7, 8, 9, 10, 11",Parmotrema,Parmotrema perlatum,N,Y,12.5,7,40.5,23,8,1181,-65,NW,,,C,,,,
B3SBHL01,3,B,"10, 11, 12, 13, 14, 15",Heterodermia,Heterodermia leucomela,N,Y,10.5,0.7,48.5,15.5,8,1181,-65,NW,,,C,,,,
B3SBU_01,3,B,"14, 15",Usnea,NA,N,N,13,0.5,16,9.5,13.5,1181,-65,NW,,,C,,,,
B3SBHL02,3,B,"16, 17",Heterodermia,Heterodermia leucomela,N,Y,11.5,1,9,7,5,1181,-65,NW,,,C,,,,
B3SBCr01,3,B,18,Crustose,Normandina pulchella,NA,NA,NA,NA,NA,NA,NA,1181,-65,NW,,,C,,,,
B3SBU_02,3,B,"19, 20",Usnea,NA,N,N,5,0.5,8,10,2.5,1181,-65,NW,,,C,,,,
B3SBHL03,1,B,19,Heterodermia,Heterodermia leucomela,N,Y,12,0.5,8,7.5,10,1181,-65,NW,,,C,,,,
B3SBHL04,2,B,20,Heterodermia,Heterodermia leucomela,N,Y,7.5,0.5,6.5,9,4,1181,-65,NW,,,C,,,,
B3SBHL05,3,B,21,Heterodermia,Heterodermia leucomela,N,Y,8.5,0.7,4,6,2.5,1181,-65,NW,,,C,,,,
B3SBPP04,3,B,"22, 23, 24, 25, 26, 27",Parmotrema,Parmotrema perlatum,N,Y,11,14.5,47,19,7.5,1181,-65,NW,,,C,,,,
B3SBU_03,3,B,22,Usnea,NA,N,N,14,0.5,12,8.5,4,1181,-65,NW,,,C,,,,
B3SBHL06,3,B,22,Heterodermia,Heterodermia leucomela,N,Y,11,2,9,11,4.5,1181,-65,NW,,,C,,,,
B3SBU_04,3,B,"24, 25, 26",Usnea,NA,N,Y,18,0.5,24.5,15.5,12,1181,-65,NW,,,C,,,,
B3SBRF01,4,B,27,Ramalina,Ramalina farinacea,N,N,8.5,0.5,9,12,1.5,1181,-65,NW,,,C,,,,
B3SBU_05,5,B,27,Usnea,NA,N,N,16,0.2,7.5,4,3.5,1181,-65,NW,,,C,,,,
B3SBU_06,3,B,"28, 29, 30, 31",Usnea,NA,N,N,20.5,0.5,38.5,16.5,4.5,1181,-65,NW,,,C,,,,
B3SBHL07,3,B,28,Heterodermia,Heterodermia leucomela,N,N,6,1,10.5,10.5,2.5,1181,-65,NW,,,C,,,,
B3SBPP05,3,B,"29, 30, 30",Parmotrema,Parmotrema perlatum,N,N,9.5,7,28,9,2.5,1181,-65,NW,,,C,,,,
B4SAPP01,4,A,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",Parmotrema,Parmotrema perlatum,N,Y,9.5,10,96,39,2.5,1154,-65,SW,,,C,,,,
B4SAU_01,4,A,2,Usnea,NA,N,N,10,0.3,8,7.5,5,1154,-65,SW,,,C,,,,
B4SAHL01,4,A,"5, 6",Heterodermia,Heterodermia leucomela leucomela,N,Y,16,1,9.5,22,9.5,1154,-65,SW,,,C,,,,
B4SAU_02,4,A,"7, 8 ",Usnea,NA,N,Y,21,0.5,23,9.5,8,1154,-65,SW,,,C,,,,
B4SA__01,4,A,"11, 12 ",Pannaria,NA,Y,N,2.5,5,18.5,8.5,1.5,1154,-65,SW,,,C,,,,
B4SAPP02,4,A,"12, 13, 14, 15",Parmotrema,Parmotrema perlatum,N,Y,10.5,11,32.5,16,5,1154,-65,SW,,,C,,,,
B4SAU_03,4,A,"13, 14, 15",Usnea,NA,N,Y,11.5,1,34,13,19.5,1154,-65,SW,,,C,,,,
B4SAPP03,4,A,"16, 17, 18, 19,  20, 21, 22",Parmotrema,Parmotrema perlatum,N,Y,6,6.5,57.5,16.5,1.5,1154,-65,SW,,,C,,,,
B4SAU_04,4,A,"19, 20",Usnea,NA,N,N,8,0.5,16.5,10.5,10,1154,-65,SW,,,C,,,,
B4SA__01,4,A,23,Pannaria,NA,Y,N,1.5,4,13.5,11.5,0.3,1154,-65,SW,,,C,,,,
B4SAHL02,4,A,24,Heterodermia,Heterodermia leucomela leucomela,N,N,5,1,8.5,10,3,1154,-65,SW,,,C,,,,
B4SAU_05,4,A,"24, 25, 26, 27",Usnea,NA,N,Y,21.5,0.5,28.5,17.5,15,1154,-65,SW,,,C,,,,
B4SAPP04,4,A,"26, 27, 28",Parmotrema,Parmotrema perlatum,N,N,9.5,8,26.5,10,5.5,1154,-65,SW,,,C,,,,
B4SAPP05,4,A,"35, 36",Parmotrema,Parmotrema perlatum,N,N,7.5,8.5,18,15.5,4,1154,-65,SW,,,C,,,,
B4SBPP01,4,B,"1, 2, 3, 4, 5",Parmotrema,Parmotrema perlatum,N,Y,12.5,10.5,39,45.5,4.5,1154,-65,SW,,,C,,,,
B4SBRF01,4,B,2,Ramalina,Ramalina farinacea,N,Y,24.5,0.5,9,7.5,3,1154,-65,SW,,,C,,,,
B4SBU_01,4,B,"3, 4",Usnea,NA,N,N,15.5,0.5,13.5,4.5,4.5,1154,-65,SW,,,C,,,,
B4SBU_02,4,B,"2, 3, 4, 5, 6, 7, 8",Usnea,NA,N,Y,69,2,86.5,33.5,22,1154,-65,SW,,,C,,,,
B4SBHL01,4,B,"3, 4, 5",Heterodermia,Heterodermia leucomela,N,Y,17,2,28.5,18.5,7.5,1154,-65,SW,,,C,,,,
B4SBPP02,4,B,"6, 7, 8, 9, 10, 11, 12, 13, 14, 15",Parmotrema,Parmotrema perlatum,N,N,11.5,8,82.5,37,3.5,1154,-65,SW,,,C,,,,
B4SBHL02,4,B,8,Heterodermia,Heterodermia leucomela,N,N,5,0.5,9,8,4,1154,-65,SW,,,C,,,,
B4SBHL03,4,B,10,Heterodermia,Heterodermia leucomela,N,N,5.5,1.5,5,9.5,4,1154,-65,SW,,,C,,,,
B4SBU_03,4,B,11,Usnea,NA,N,N,13,1,18,17.5,7.5,1154,-65,SW,,,C,,,,
B4SB__01,4,B,"11, 12",Pannaria,NA,Y,N,4.5,2.5,17.5,32.5,1.5,1154,-65,SW,,,C,,,,
B4SBRF02,4,B,"11, 12",Ramalina,Ramalina farinacea,N,Y,11.5,0.5,9,6.5,3.5,1154,-65,SW,,,C,,,,
B4SBU_04,4,B,"12, 13",Usnea,NA,N,N,11,1,16.5,15,5,1154,-65,SW,,,C,,,,
B4SBPP03,4,B,"15, 16, 17, 18",Parmotrema,Parmotrema perlatum,N,Y,7.5,9,31.5,24,2,1154,-65,SW,,,C,,,,
B4SBHL04,4,B,16,Heterodermia,Heterodermia leucomela,N,N,5,1,3.5,10,2,1154,-65,SW,,,C,,,,
B4SBU_05,4,B,"16, 17",Usnea,NA,N,N,14.5,0.5,21,10,4.5,1154,-65,SW,,,C,,,,
B4SBPP04,4,B,"18, 19, 20",Parmotrema,Parmotrema perlatum,N,N,5,6.5,22,9.5,1,1154,-65,SW,,,C,,,,
B4SBPP05,4,B,"20, 21, 22",Parmotrema,Parmotrema perlatum,N,N,6,12.5,26,23,2,1154,-65,SW,,,C,,,,
B4SBPP06,4,B,"21, 22, 23",Parmotrema,Parmotrema perlatum,N,N,9.5,8,23,24.5,1,1154,-65,SW,,,C,,,,
B4SBHL05,4,B,24,Heterodermia,Heterodermia leucomela,N,N,5.5,1,7,9.5,0.5,1154,-65,SW,,,C,,,,
B4SBPP07,4,B,"25, 26, 27",Parmotrema,Parmotrema perlatum,N,N,6.5,7,33.5,7,0.2,1154,-65,SW,,,C,,,,
B4SB__01,4,B,26,Flavoparmelia,NA,N,N,2.5,3,8,3,0.1,1154,-65,SW,,,C,,,,
B4SBU_06,4,B,"25, 26, 27",Usnea,NA,N,Y,18.5,0.5,22.5,19.5,14,1154,-65,SW,,,C,,,,
B4SBHL06,4,B,"27, 28",Heterodermia,Heterodermia leucomela,N,N,9,1,11.5,11,3,1154,-65,SW,,,C,,,,
B4SBPP08,4,B,"27, 28, 29",Parmotrema,Parmotrema perlatum,N,N,5.5,7,20,8.5,2,1154,-65,SW,,,C,,,,
B4SBMS01,4,B,"28, 29",Melanelixia,Melanelia subolivacea,N,N,5,4.5,11,6.5,0.1,1154,-65,SW,,,C,,,,
B4SBU_07,4,B,33,Usnea,NA,N,N,4.5,0.3,4.5,2,0.5,1154,-65,SW,,,C,,,,
B4SBTF01,4,B,33,Teloschistes,Teloschistes flavicans,N,N,2,0.3,5,4,0.5,1154,-65,SW,,,C,,,,
B4SBU_08,4,B,"36, 37",Usnea,NA,N,N,4.5,0.3,7.5,7,3,1154,-65,SW,,,C,,,,
B4SBPP09,4,B,"36, 37, 38",Parmotrema,Parmotrema perlatum,N,N,7,7,19.5,13,2,1154,-65,SW,,,C,,,,
B4SA.1PP01,4,A.1,1,Parmotrema,Parmotrema perlatum,N,N,4.5,3,4.5,9,0.5,1154,-65,SW,,,C,,,,
B4SA.1PP02,4,A.1,2,Parmotrema,Parmotrema perlatum,N,N,4.5,5.5,8.5,5.5,4,1154,-65,SW,,,C,,,,
B4SA.1PP03,4,A.1,"3, 4, 5, 6",Parmotrema,Parmotrema perlatum,N,N,5,5.5,29.5,13,2,1154,-65,SW,,,C,,,,
B4SA.1__01,4,A.1,"4, 5",Parmelia,NA,N,N,6.5,2,11,12.5,1,1154,-65,SW,,,C,,,,
B4SA.1U_01,4,A.1,"4, 5, 6",Usnea,NA,N,Y,17,0.5,20.5,11.5,15,1154,-65,SW,,,C,,,,
B4SA.1U_02,4,A.1,"6, 7, 8",Usnea,NA,N,Y,18,0.5,22.5,13,9.5,1154,-65,SW,,,C,,,,
B4SA.1PP04,4,A.1,"8, 9",Parmotrema,Parmotrema perlatum,N,N,3,2,12,6.5,0.2,1154,-65,SW,,,C,,,,
B4SA.1U_03,4,A.1,"9, 10, 11, 12, 13",Usnea,NA,N,Y,33,0.8,51,27,14,1154,-65,SW,,,C,,,,
B4SA.1PP05,4,A.1,"10, 11",Parmotrema,Parmotrema perlatum,N,N,6.5,5.5,16,12,0.5,1154,-65,SW,,,C,,,,
B4SA.1PP06,4,A.1,13,Parmotrema,Parmotrema perlatum,N,N,2,2.5,6,3.5,0.2,1154,-65,SW,,,C,,,,
B4SA.1PP07,4,A.1,14,Parmotrema,Parmotrema perlatum,N,N,3,2.5,9.5,5.5,0.2,1154,-65,SW,,,C,,,,
B4SA.1PP08,4,A.1,15,Parmotrema,Parmotrema perlatum,N,N,2.5,1,3,4.5,0.2,1154,-65,SW,,,C,,,,
B4SB.1PP01,4,B.1,"1, 2",Parmotrema,Parmotrema perlatum,N,N,8.5,6.5,19.5,7,3.5,1154,-65,SW,,,C,,,,
B4SB.1__01,4,B.1,3,Parmelia,NA,N,N,2.5,2,7,4,0.1,1154,-65,SW,,,C,,,,
B4SB.1__02,4,B.1,"4, 5",Parmelia,NA,N,N,8,2.5,17.5,18.5,0.5,1154,-65,SW,,,C,,,,
B4SB.1PP02,4,B.1,"7, 8",Parmotrema,Parmotrema perlatum,N,N,7.5,5,12.5,7,1,1154,-65,SW,,,C,,,,
B4SB.1HL01,4,B.1,9,Heterodermia,Heterodermia leucomela,N,Y,9.5,1,5.5,3.5,8,1154,-65,SW,,,C,,,,
B4SB.1U_01,4,B.1,"8, 9",Usnea,NA,N,Y,14.5,0.3,22.5,14.5,13,1154,-65,SW,,,C,,,,
B4SB.1U_02,4,B.1,"9, 10, 11, 12, 13",Usnea,NA,N,Y,33,0.5,44,23.5,15,1154,-65,SW,,,C,,,,
B4SB.1U_03,4,B.1,11,Usnea,NA,N,N,19.5,0.5,19.5,13,13,1154,-65,SW,,,C,,,,
B4SB.1PP03,4,B.1,10,Parmotrema,Parmotrema perlatum,N,N,4,0.5,6,4.5,0.5,1154,-65,SW,,,C,,,,
B5SAPP01,5,A,"1, 2",Parmotrema,Parmotrema perlatum,N,N,8.5,4.5,12.5,16.5,1.5,1134,-65,S,37.4117,122.618,C,,,,
B5SAC_01,5,A,10,Collema,Collema furfuraceum ,N,Y,4,4.5,8,9,1,1134,-65,S,37.4117,122.618,C,,,,
B5SACr01,5,A,"9, 10",Crustose,NA,NA,NA,NA,NA,NA,NA,NA,1134,-65,S,37.4117,122.618,C,,,,
B5SAPP02,5,A,14,Parmotrema,Parmotrema perlatum,N,N,1.5,2.5,3,1.5,0.5,1134,-65,S,37.4117,122.618,C,,,,
B5SAHL01,5,A,"14, 15",Heterodermia,Heterodermia leucomela,N,N,8,1,10,5,8.5,1134,-65,S,37.4117,122.618,C,,,,
B5SAPP03,5,A,"22, 23, 24, 25, 26",Parmotrema,Parmotrema perlatum,N,Y,10,7,50.5,23.5,,1134,-65,S,37.4117,122.618,C,,,,
B5SAPA01,5,A,22,Physcia,Physcia adscendens,N,N,5.5,0.5,7,5.5,2,1134,-65,S,37.4117,122.618,C,,,,
